14	Võ Hương Giang	\N	\N	\N	\N	active	2026-05-27 04:11:43.217611+00	2026-05-27 04:11:43.217611+00	danang.nurse05@momcare.local	DANANG.NURSE05@MOMCARE.LOCAL	danang.nurse05@momcare.local	DANANG.NURSE05@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEAGOFIBvvijVtCSQys6+3KOiF6FGkX4EIn75o5w8JK/IxVmzoGLwV+fGzK2/n3AWpw==	ETM6DYMKRGZEB6SYA337WX2PHSHFH2TG	6e631e71-43ea-4a13-b835-070f9434f2ed	0918000005	f	f	\N	t	0
2	Lan Nguyen	\N	\N	\N	\N	active	2026-05-24 07:45:56.492718+00	2026-05-24 07:45:56.492718+00	lan.customer@momcare.local	LAN.CUSTOMER@MOMCARE.LOCAL	lan.customer@momcare.local	LAN.CUSTOMER@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEGqULnIpk4k8K7C9gd0ntVL8XSUopRUtUma9b7VQqPuvDt5Q2BS6q4nuQMEgytDWVw==	XGH6JXPGIJCTAQFENHRXKAKJLL222GUC	c1ec3582-128e-4522-9563-929671efb8a2	0900000002	f	f	\N	t	0
3	Thu Tran	\N	\N	\N	\N	active	2026-05-24 07:45:57.302039+00	2026-05-24 07:45:57.302039+00	thu.customer@momcare.local	THU.CUSTOMER@MOMCARE.LOCAL	thu.customer@momcare.local	THU.CUSTOMER@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEClQe20meF7uP6F9ealPqWlQuqHz9c72JCRXjdu0k1o54gH9biaoSWrqpyZWUMnHrg==	O5XHR6RSPMFOI7UIY6WI5WT6XAZENBFX	5b70f08f-942a-4628-91de-0000d9b0773a	0900000003	f	f	\N	t	0
6	Đỗ Bảo Ngọc	\N	\N	\N	\N	active	2026-05-24 07:45:59.393231+00	2026-05-28 07:54:34.096988+00	pending.nurse@momcare.local	PENDING.NURSE@MOMCARE.LOCAL	pending.nurse@momcare.local	PENDING.NURSE@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEN25GuDJ/m4RUFe8Z3EerJZ0sXThxF/AqqemJd/+86pIfWoX3tX0X0oH+wcVOO234g==	6EVYXZO2A3VHD5YCGOMFXKT5IMCTKXAF	3f893cab-8aff-4d99-a11f-d8393fc34e24	0900000006	f	f	\N	t	0
9	Nguyên	\N	MB	3697999999999	LE THANH NGUYEN	active	2026-05-27 02:58:29.322494+00	2026-05-28 07:55:05.276626+00	nguyen212@gmail.com	NGUYEN212@GMAIL.COM	nguyen212@gmail.com	NGUYEN212@GMAIL.COM	t	AQAAAAIAAYagAAAAEPpYWgB6qH40FHvPTEY+FP6C0GSNU+ZIQ0E2Whu1T8dN18SCrkyubRZm42cr6yKmVQ==	EZCURY7EDXQ2CX37NXNTUBRSE5OU6QLK	6eb9411c-2334-4dce-baf1-efee46bef2c8	0796576888	f	f	\N	t	0
7	Phuong Mi	\N	\N	\N	\N	active	2026-05-24 08:21:15.400355+00	2026-05-24 08:21:15.400386+00	nguyenphuongmi02@gmail.com	NGUYENPHUONGMI02@GMAIL.COM	nguyenphuongmi02@gmail.com	NGUYENPHUONGMI02@GMAIL.COM	t	AQAAAAIAAYagAAAAEKnOiYUoJLh3jSaBrhexuVkDyeIrtgOBSROna73Y1q76hINfv0N6ngeVpN5MaJAwKg==	XPHKRV3CDQLIO5AVXDVBP5HVVWQTSC76	87efa5e9-a758-4236-a2b5-630056346fe8	0378186478	f	f	\N	t	0
1	System Admin	\N	\N	\N	\N	active	2026-05-24 07:45:54.396899+00	2026-05-27 04:11:34.908115+00	admin@momcare.local	ADMIN@MOMCARE.LOCAL	admin@momcare.local	ADMIN@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEFMeL8S8G6CJqDsxvEnDC4pb8MD0/zBdJHEE7gnTMPiTdwc+Sn89imolyZjHfFzfpQ==	33e278ac-59de-460d-8412-194425b9d3ce	41443329-c33b-417b-be13-b00129db89cd	0900000001	f	f	\N	t	0
8	Nguyễn Thị Chính Thảo	\N	MB	0905017481	NGUYEN LUONG UYEN THAO	active	2026-05-25 05:30:11.096778+00	2026-05-25 05:32:12.817711+00	thao@gmail.com	THAO@GMAIL.COM	thao@gmail.com	THAO@GMAIL.COM	t	AQAAAAIAAYagAAAAEFrU0WbjjnqQCCDGgG6iDzQDJvriNM7VMb0IvgUGsu0uGo3FyuNAmCR4X9LWFTliIQ==	Z2I3C4AYQV6WVSVJTXETUTJSYXDNYL2Z	5e7f5bd7-96f8-4c18-ad93-abbb9283d89d	0796555878	f	f	\N	t	0
5	Phạm Thanh Mai	\N	\N	\N	\N	active	2026-05-24 07:45:58.684325+00	2026-06-09 04:48:36.836571+00	mai.nurse@momcare.local	MAI.NURSE@MOMCARE.LOCAL	mai.nurse@momcare.local	MAI.NURSE@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAECMdBVfBmagFCr9IjjWGw3BxWKLnYTCVU+eQ1ZZb3fLtaDCgG/j0ytrOrJ98tKxhNw==	N47SGAEN6XBOT7VAPCXGZQN6T37BDNLA	9718e757-0288-4f40-93a5-9e443b18f8ad	0900000005	f	f	\N	t	0
10	Nguyễn Thị An	\N	\N	\N	\N	active	2026-05-27 04:11:39.106718+00	2026-05-27 04:11:39.106748+00	danang.nurse01@momcare.local	DANANG.NURSE01@MOMCARE.LOCAL	danang.nurse01@momcare.local	DANANG.NURSE01@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEArXvY4OopXOW76nUmgXseicuFkMuzQiBGh/crte4jPs0EPdgkAQtFYP225kUobc6Q==	QL5XOE62H42LYMB25EQMUQUEYQYWWTNM	4630d5bb-dd21-4bdd-9a9a-74be7a172416	0918000001	f	f	\N	t	0
11	Trần Thị Bình	\N	\N	\N	\N	active	2026-05-27 04:11:40.806463+00	2026-05-27 04:11:40.806464+00	danang.nurse02@momcare.local	DANANG.NURSE02@MOMCARE.LOCAL	danang.nurse02@momcare.local	DANANG.NURSE02@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAECuynzRD3kIC9w6icc6Te/mk9b+/yt3r31fhll6x7jdhvrvmE2HdTXmWNT5hRiLOtQ==	Y5RFQFKWNBGCEP42FBHOEVYD7BW54LVK	cef947f7-3456-44b9-8b0b-3831461f43bf	0918000002	f	f	\N	t	0
12	Lê Minh Chi	\N	\N	\N	\N	active	2026-05-27 04:11:41.616676+00	2026-05-27 04:11:41.616676+00	danang.nurse03@momcare.local	DANANG.NURSE03@MOMCARE.LOCAL	danang.nurse03@momcare.local	DANANG.NURSE03@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEOcoZHyY1Kq9eGY8dfzohyftMG9Ydb+gS7JcIArlL/+kC/Jgb0qQ3UQJyX72wr73gw==	Z3NS6ZKU2ZEIDYTQ2P6SU2SWZYEH432T	b6e9aa01-8233-41cf-b206-084fad545342	0918000003	f	f	\N	t	0
13	Phạm Thu Dung	\N	\N	\N	\N	active	2026-05-27 04:11:42.320451+00	2026-05-27 04:11:42.320451+00	danang.nurse04@momcare.local	DANANG.NURSE04@MOMCARE.LOCAL	danang.nurse04@momcare.local	DANANG.NURSE04@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEONpY04OGCN4bQtNbdOSTpRk81ObBEMnACx+p22p5zDNNk/CsBscYP9xH+tJOzNIlA==	EEPY6P7U5K7724NPYVJT5CGLXIIMZ2JS	0d9a828b-4fe1-4e16-829a-4d9ea182260e	0918000004	f	f	\N	t	0
15	Hoàng Ngọc Hà	\N	\N	\N	\N	active	2026-05-27 04:11:44.413781+00	2026-05-27 04:11:44.413781+00	danang.nurse06@momcare.local	DANANG.NURSE06@MOMCARE.LOCAL	danang.nurse06@momcare.local	DANANG.NURSE06@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEKETfdXXdsg/p3s1a3drnYTUkWRmLZhDSInxx7B0cQueS5jY7elJW94ufwe98FvaWQ==	3RLLQQTQDJO6OUMHFNAN7CPURW2C2YRA	d7758468-01e1-414a-8f26-12039f09780f	0918000006	f	f	\N	t	0
16	Đặng Mỹ Hạnh	\N	\N	\N	\N	active	2026-05-27 04:11:45.30979+00	2026-05-27 04:11:45.30979+00	danang.nurse07@momcare.local	DANANG.NURSE07@MOMCARE.LOCAL	danang.nurse07@momcare.local	DANANG.NURSE07@MOMCARE.LOCAL	t	AQAAAAIAAYagAAAAEPlaxWdvfCL0v6FJ+TYwRGmkaLh6HW3pxU+qn70H5QBvLGlcbYkDq6fYqLeP74zgwg==	KNB7H36SZ4L6M4OEP5DJ3HJNQNK32B5M	ff4d1683-dea2-49da-a16d-cf712dd39c0b	0918000007	f	f	\N	t	0
